Frame id: 76833, timestamp: 89394700653, hands: 0, fingers: 0
Frame id: 76834, timestamp: 89394709317, hands: 0, fingers: 0
Frame id: 76835, timestamp: 89394718000, hands: 0, fingers: 0
Frame id: 76836, timestamp: 89394726665, hands: 0, fingers: 0
Frame id: 76837, timestamp: 89394735318, hands: 0, fingers: 0
Frame id: 76838, timestamp: 89394743985, hands: 0, fingers: 0
Frame id: 76839, timestamp: 89394752661, hands: 0, fingers: 0
Frame id: 76840, timestamp: 89394761270, hands: 0, fingers: 0
Frame id: 76841, timestamp: 89394770012, hands: 0, fingers: 0
Frame id: 76842, timestamp: 89394778701, hands: 0, fingers: 0
Frame id: 76843, timestamp: 89394787340, hands: 0, fingers: 0
Frame id: 76844, timestamp: 89394796006, hands: 0, fingers: 0
Frame id: 76845, timestamp: 89394804693, hands: 0, fingers: 0
Frame id: 76846, timestamp: 89394813315, hands: 0, fingers: 0
Frame id: 76847, timestamp: 89394822024, hands: 0, fingers: 0
Frame id: 76848, timestamp: 89394830697, hands: 0, fingers: 0
Frame id: 76849, timestamp: 89394839368, hands: 0, fingers: 0
Frame id: 76850, timestamp: 89394848080, hands: 0, fingers: 0
Frame id: 76851, timestamp: 89394856734, hands: 0, fingers: 0
Frame id: 76852, timestamp: 89394865418, hands: 0, fingers: 0
Frame id: 76853, timestamp: 89394874083, hands: 0, fingers: 0
Frame id: 76854, timestamp: 89394882801, hands: 0, fingers: 0
Frame id: 76855, timestamp: 89394891456, hands: 0, fingers: 0
Frame id: 76856, timestamp: 89394900093, hands: 0, fingers: 0
Frame id: 76857, timestamp: 89394908742, hands: 0, fingers: 0
Frame id: 76858, timestamp: 89394917491, hands: 0, fingers: 0
Frame id: 76859, timestamp: 89394926121, hands: 0, fingers: 0
Frame id: 76860, timestamp: 89394934794, hands: 0, fingers: 0
Frame id: 76861, timestamp: 89394943522, hands: 0, fingers: 0
Frame id: 76862, timestamp: 89394952163, hands: 0, fingers: 0
Frame id: 76863, timestamp: 89394960738, hands: 0, fingers: 0
Frame id: 76864, timestamp: 89394969445, hands: 0, fingers: 0
Frame id: 76865, timestamp: 89394978075, hands: 0, fingers: 0
Frame id: 76866, timestamp: 89394986799, hands: 0, fingers: 0
Frame id: 76867, timestamp: 89394995523, hands: 0, fingers: 0
Frame id: 76868, timestamp: 89395004163, hands: 0, fingers: 0
Frame id: 76869, timestamp: 89395012815, hands: 0, fingers: 0
Frame id: 76870, timestamp: 89395021483, hands: 0, fingers: 0
Frame id: 76871, timestamp: 89395030154, hands: 0, fingers: 0
Frame id: 76872, timestamp: 89395038837, hands: 0, fingers: 0
Frame id: 76873, timestamp: 89395047498, hands: 0, fingers: 0
Frame id: 76874, timestamp: 89395056240, hands: 0, fingers: 0
Frame id: 76875, timestamp: 89395064893, hands: 0, fingers: 0
Frame id: 76876, timestamp: 89395073539, hands: 0, fingers: 0
Frame id: 76877, timestamp: 89395082203, hands: 0, fingers: 0
Frame id: 76878, timestamp: 89395090812, hands: 0, fingers: 0
Frame id: 76879, timestamp: 89395099564, hands: 0, fingers: 0
Frame id: 76880, timestamp: 89395108186, hands: 0, fingers: 0
Frame id: 76881, timestamp: 89395116849, hands: 0, fingers: 0
Frame id: 76882, timestamp: 89395125472, hands: 0, fingers: 0
Frame id: 76883, timestamp: 89395134209, hands: 0, fingers: 0
Frame id: 76884, timestamp: 89395142879, hands: 0, fingers: 0
Frame id: 76885, timestamp: 89395151588, hands: 0, fingers: 0
Frame id: 76886, timestamp: 89395160209, hands: 0, fingers: 0
Frame id: 76887, timestamp: 89395168938, hands: 0, fingers: 0
Frame id: 76888, timestamp: 89395177576, hands: 0, fingers: 0
Frame id: 76889, timestamp: 89395186296, hands: 0, fingers: 0
Frame id: 76890, timestamp: 89395194984, hands: 0, fingers: 0
Frame id: 76891, timestamp: 89395203619, hands: 0, fingers: 0
Frame id: 76892, timestamp: 89395212358, hands: 1, fingers: 5
  Right hand, id 25, position: (33.7721, 174.383, 7.80999)
  pitch: -0.851617 degrees, roll: -64.987256 degrees, yaw: 10.291422 degrees
  Arm direction: (-0.0942549, 0.169985, -0.980929), wrist position: (31.3146, 170.389, 58.0347), elbow position: (54.7803, 128.07, 302.247)
    Thumb finger, id: 250, length: 48.055134mm, width: 18.671991mm, direction: (-0.050485, 0.314569, -0.947891)
      Bone: Metacarpal, start: (11.0975, 190.158, 57.2771), end: (11.0975, 190.158, 57.2771), direction: (0, 0, 0)
      Bone: Proximal, start: (11.0975, 190.158, 57.2771), end: (8.82127, 214.765, 18.4461), direction: (0.0494538, -0.534621, 0.843644)
      Bone: Intermediate, start: (8.82127, 214.765, 18.4461), end: (7.23409, 224.655, -11.3543), direction: (0.050485, -0.314569, 0.947891)
      Bone: Distal, start: (7.23409, 224.655, -11.3543), end: (6.14515, 231.22, -31.8823), direction: (0.0504611, -0.304238, 0.951259)
    Index finger, id: 251, length: 54.224857mm, width: 17.835487mm, direction: (-0.52188, -0.315431, -0.792556)
      Bone: Metacarpal, start: (32.0364, 190.787, 51.0408), end: (30.2411, 195.851, -16.5828), direction: (0.0264654, -0.0746447, 0.996859)
      Bone: Proximal, start: (30.2411, 195.851, -16.5828), end: (26.4377, 190.827, -55.693), direction: (0.0960086, 0.126807, 0.98727)
      Bone: Intermediate, start: (26.4377, 190.827, -55.693), end: (14.8067, 183.797, -73.3566), direction: (0.52188, 0.315431, 0.792556)
      Bone: Distal, start: (14.8067, 183.797, -73.3566), end: (2.69879, 177.349, -81.1033), direction: (0.76855, 0.409314, 0.491725)
    Middle finger, id: 252, length: 61.784874mm, width: 17.516817mm, direction: (-0.760715, -0.175561, 0.624892)
      Bone: Metacarpal, start: (38.2971, 181.421, 49.6284), end: (40.3392, 178.231, -14.5913), direction: (-0.0317437, 0.0495862, 0.998265)
      Bone: Proximal, start: (40.3392, 178.231, -14.5913), end: (7.9659, 167.234, -42.9873), direction: (0.728402, 0.247434, 0.638911)
      Bone: Intermediate, start: (7.9659, 167.234, -42.9873), end: (-11.9804, 162.631, -26.6023), direction: (0.760715, 0.175561, -0.624892)
      Bone: Distal, start: (-11.9804, 162.631, -26.6023), end: (-16.994, 162.273, -10.0197), direction: (0.289341, 0.0206546, -0.957003)
    Ring finger, id: 253, length: 59.407806mm, width: 16.668362mm, direction: (-0.745127, -0.053579, 0.664767)
      Bone: Metacarpal, start: (42.1896, 170.783, 49.5228), end: (47.5101, 160.01, -6.97235), direction: (-0.0921169, 0.186521, 0.978123)
      Bone: Proximal, start: (47.5101, 160.01, -6.97235), end: (16.7301, 150.034, -32.4737), direction: (0.747127, 0.242167, 0.618997)
      Bone: Intermediate, start: (16.7301, 150.034, -32.4737), end: (-2.30289, 148.665, -15.4934), direction: (0.745127, 0.0535787, -0.664767)
      Bone: Distal, start: (-2.30289, 148.665, -15.4934), end: (-5.44159, 150.497, 1.34691), direction: (0.182186, -0.106361, -0.977494)
    Pinky finger, id: 254, length: 46.574619mm, width: 14.806143mm, direction: (-0.803123, 0.0768715, 0.590834)
      Bone: Metacarpal, start: (40.1126, 157.982, 51.5286), end: (49.8807, 142.271, 1.36454), direction: (-0.182695, 0.293845, 0.938231)
      Bone: Proximal, start: (49.8807, 142.271, 1.36454), end: (26.2948, 137.324, -20.5955), direction: (0.723407, 0.151731, 0.673543)
      Bone: Intermediate, start: (26.2948, 137.324, -20.5955), end: (11.8108, 138.71, -9.94002), direction: (0.803123, -0.0768716, -0.590834)
      Bone: Distal, start: (11.8108, 138.71, -9.94002), end: (8.08241, 141.354, 5.28217), direction: (0.234585, -0.166352, -0.957756)
Frame id: 76903, timestamp: 89395307812, hands: 1, fingers: 5
  Right hand, id 25, position: (36.367, 163.804, 0.301979)
  pitch: -2.945803 degrees, roll: -73.495787 degrees, yaw: 19.429532 degrees
  Arm direction: (-0.0705381, 0.0762571, -0.99459), wrist position: (25.1416, 160.536, 49.3717), elbow position: (42.7028, 141.551, 296.985)
    Thumb finger, id: 250, length: 48.055283mm, width: 18.672050mm, direction: (-0.0840654, 0.252805, -0.963858)
      Bone: Metacarpal, start: (8.70864, 183.274, 45.7549), end: (8.70864, 183.274, 45.7549), direction: (0, 0, 0)
      Bone: Proximal, start: (8.70864, 183.274, 45.7549), end: (5.65229, 204.206, 4.87621), direction: (0.0664021, -0.454769, 0.888131)
      Bone: Intermediate, start: (5.65229, 204.206, 4.87621), end: (3.00938, 212.153, -25.4263), direction: (0.0840654, -0.252805, 0.963858)
      Bone: Distal, start: (3.00938, 212.153, -25.4263), end: (1.27555, 218.636, -45.9363), direction: (0.0803448, -0.300406, 0.950422)
    Index finger, id: 251, length: 54.225025mm, width: 17.835543mm, direction: (-0.484033, -0.0450907, 0.873887)
      Bone: Metacarpal, start: (30.2165, 180.517, 43.0086), end: (40.3106, 185.423, -23.8934), direction: (-0.148799, -0.0723117, 0.98622)
      Bone: Proximal, start: (40.3106, 185.423, -23.8934), end: (6.41091, 174.052, -40.9475), direction: (0.855736, 0.287032, 0.430498)
      Bone: Intermediate, start: (6.41091, 174.052, -40.9475), end: (-4.37671, 173.047, -21.4712), direction: (0.484033, 0.0450911, -0.873887)
      Bone: Distal, start: (-4.37671, 173.047, -21.4712), end: (-2.17876, 175.289, -6.03288), direction: (-0.139515, -0.142271, -0.979946)
    Middle finger, id: 252, length: 61.785065mm, width: 17.516872mm, direction: (-0.474103, 0.0382348, 0.879639)
      Bone: Metacarpal, start: (35.0606, 170.265, 42.4369), end: (47.0286, 166.429, -20.655), direction: (-0.186038, 0.0596227, 0.980732)
      Bone: Proximal, start: (47.0286, 166.429, -20.655), end: (7.53026, 160.501, -40.1497), direction: (0.888713, 0.133384, 0.438631)
      Bone: Intermediate, start: (7.53026, 160.501, -40.1497), end: (-4.90098, 161.504, -17.0851), direction: (0.474103, -0.0382346, -0.879639)
      Bone: Distal, start: (-4.90098, 161.504, -17.0851), end: (-1.63974, 163.495, -0.184044), direction: (-0.18821, -0.114934, -0.97538)
    Ring finger, id: 253, length: 59.407990mm, width: 16.668415mm, direction: (-0.509246, 0.187667, 0.839911)
      Bone: Metacarpal, start: (37.1836, 159.142, 42.7445), end: (49.8822, 147.34, -12.3514), direction: (-0.219855, 0.204322, 0.953895)
      Bone: Proximal, start: (49.8822, 147.34, -12.3514), end: (13.7046, 143.062, -31.5908), direction: (0.878139, 0.10385, 0.466997)
      Bone: Intermediate, start: (13.7046, 143.062, -31.5908), end: (0.696732, 147.856, -10.1366), direction: (0.509246, -0.187667, -0.839911)
      Bone: Distal, start: (0.696732, 147.856, -10.1366), end: (3.46009, 151.558, 6.46035), direction: (-0.160398, -0.214934, -0.963367)
    Pinky finger, id: 254, length: 46.574764mm, width: 14.806189mm, direction: (-0.581272, 0.310303, 0.75222)
      Bone: Metacarpal, start: (32.8062, 146.847, 44.1233), end: (48.0202, 129.497, -4.10751), direction: (-0.28455, 0.324502, 0.90207)
      Bone: Proximal, start: (48.0202, 129.497, -4.10751), end: (21.2285, 129.505, -22.6876), direction: (0.821732, -0.000234003, 0.569875)
      Bone: Intermediate, start: (21.2285, 129.505, -22.6876), end: (10.7455, 135.101, -9.12156), direction: (0.581272, -0.310304, -0.75222)
      Bone: Distal, start: (10.7455, 135.101, -9.12156), end: (11.7923, 139.03, 6.24309), direction: (-0.0658673, -0.247224, -0.966717)
Frame id: 76915, timestamp: 89395411742, hands: 1, fingers: 5
  Right hand, id 25, position: (38.2371, 160.305, 0.65394)
  pitch: -3.010922 degrees, roll: -73.306734 degrees, yaw: 20.659804 degrees
  Arm direction: (-0.0502433, 0.00498315, -0.998725), wrist position: (25.9666, 157.078, 49.4755), elbow position: (38.4752, 155.838, 298.119)
    Thumb finger, id: 250, length: 48.055283mm, width: 18.672050mm, direction: (-0.0460144, 0.167946, -0.984722)
      Bone: Metacarpal, start: (9.59443, 179.797, 45.4834), end: (9.59443, 179.797, 45.4834), direction: (0, 0, 0)
      Bone: Proximal, start: (9.59443, 179.797, 45.4834), end: (8.44912, 200.198, 4.23963), direction: (0.0248829, -0.443232, 0.896061)
      Bone: Intermediate, start: (8.44912, 200.198, 4.23963), end: (7.00249, 205.478, -26.7188), direction: (0.0460144, -0.167946, 0.984722)
      Bone: Distal, start: (7.00249, 205.478, -26.7188), end: (5.68728, 203.812, -48.1941), direction: (0.060946, 0.077188, 0.995152)
    Index finger, id: 251, length: 54.225025mm, width: 17.835543mm, direction: (-0.466532, -0.0314322, 0.883945)
      Bone: Metacarpal, start: (31.1587, 177.058, 43.2011), end: (42.6784, 181.902, -23.4747), direction: (-0.169816, -0.0714108, 0.982885)
      Bone: Proximal, start: (42.6784, 181.902, -23.4747), end: (8.83042, 170.455, -40.58), direction: (0.854432, 0.288965, 0.431792)
      Bone: Intermediate, start: (8.83042, 170.455, -40.58), end: (-1.56717, 169.754, -20.8795), direction: (0.466532, 0.0314323, -0.883945)
      Bone: Distal, start: (-1.56717, 169.754, -20.8795), end: (0.790643, 172.154, -5.48865), direction: (-0.149662, -0.152317, -0.976934)
    Middle finger, id: 252, length: 61.785065mm, width: 17.516872mm, direction: (-0.456245, 0.0668276, 0.887341)
      Bone: Metacarpal, start: (36.023, 166.809, 42.7443), end: (49.3427, 162.918, -20.0727), direction: (-0.207048, 0.0604835, 0.976459)
      Bone: Proximal, start: (49.3427, 162.918, -20.0727), end: (9.72359, 156.74, -39.2422), direction: (0.89143, 0.139001, 0.431313)
      Bone: Intermediate, start: (9.72359, 156.74, -39.2422), end: (-2.23941, 158.492, -15.9757), direction: (0.456245, -0.0668277, -0.887341)
      Bone: Distal, start: (-2.23941, 158.492, -15.9757), end: (1.18485, 160.913, 0.836856), direction: (-0.197618, -0.139718, -0.970271)
    Ring finger, id: 253, length: 59.407990mm, width: 16.668415mm, direction: (-0.491188, 0.203462, 0.846958)
      Bone: Metacarpal, start: (38.149, 155.688, 43.1092), end: (52.035, 143.84, -11.6895), direction: (-0.240412, 0.205123, 0.94875)
      Bone: Proximal, start: (52.035, 143.84, -11.6895), end: (15.6769, 139.636, -30.6022), direction: (0.882521, 0.10204, 0.459069)
      Bone: Intermediate, start: (15.6769, 139.636, -30.6022), end: (3.13027, 144.834, -8.96809), direction: (0.491188, -0.203462, -0.846958)
      Bone: Distal, start: (3.13027, 144.834, -8.96809), end: (6.03236, 148.715, 7.56417), direction: (-0.168452, -0.225323, -0.959611)
    Pinky finger, id: 254, length: 46.574764mm, width: 14.806189mm, direction: (-0.575397, 0.293228, 0.763502)
      Bone: Metacarpal, start: (33.7542, 143.391, 44.4071), end: (50.0129, 126.004, -3.46825), direction: (-0.304091, 0.325189, 0.895422)
      Bone: Proximal, start: (50.0129, 126.004, -3.46825), end: (23.2581, 126.348, -22.0982), direction: (0.820603, -0.0105577, 0.571401)
